Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
FFMM_B-Chrom.3.DC2,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA
FFMM_B-Chrom.4.DC2,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.1.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.2.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.3.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
NSL-2843_B-Chrom.1.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.1.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.2.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.3.DC2,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA
BLANK.1.DC1,Dawe_Lab_1,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
BLANK.2.DC1,Dawe_Lab_1,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
BLANK.1.DC2,Dawe_Lab_2,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA
