Simp_Name,Name,Missing,Total,Perc_Missing,Extra_Name,OG_Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP
NA,BLANK.43.RY,1505790,1505790,1,NA,NA,Romay_etal_2013,BLANK.43,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.44.RY,1505788,1505790,0.999998671793544,NA,NA,Romay_etal_2013,BLANK.44,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.45.RY,1505790,1505790,1,NA,NA,Romay_etal_2013,BLANK.45,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.46.RY,1505738,1505790,0.999965466632133,NA,NA,Romay_etal_2013,BLANK.46,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.47.RY,1505691,1505790,0.999934253780408,NA,NA,Romay_etal_2013,BLANK.47,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.48.RY,1505778,1505790,0.999992030761262,NA,NA,Romay_etal_2013,BLANK.48,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.49.RY,1505749,1505790,0.999972771767644,NA,NA,Romay_etal_2013,BLANK.49,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.5.RY,1505786,1505790,0.999997343587087,NA,NA,Romay_etal_2013,BLANK.5,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.50.RY,1505761,1505790,0.999980741006382,NA,NA,Romay_etal_2013,BLANK.50,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.51.RY,1505722,1505790,0.999954840980482,NA,NA,Romay_etal_2013,BLANK.51,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.52.RY,1505729,1505790,0.999959489703079,NA,NA,Romay_etal_2013,BLANK.52,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.53.RY,1505076,1505790,0.999525830295061,NA,NA,Romay_etal_2013,BLANK.53,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
NA,BLANK.54.RY,1505632,1505790,0.999895071689944,NA,NA,Romay_etal_2013,BLANK.54,NA,Blank,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
