Name,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Mean,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SEEDGWAS5220.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005201,NA,Landrace,Unknown,Unknown,14.530291,-91.413563,371,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.011364600743462,-26.9950756501379,0.762013058155602,-3.13102106960142,11.8706839546186,5.25041950323777,4.17744390075867,10.2164059197555,2.96833759447029,3.76493943233961,1.50026736494938
SEEDGWAS5221.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005242,NA,Landrace,Unknown,Unknown,14.392633,-90.300288,1001,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0084239957780809,-27.4082840970116,1.26295111189203,-2.1007943635884,10.8952704918747,4.81648524466025,3.8766849270553,9.13512922331413,5.56616839788908,2.37710816755313,-1.7369158862183
SEEDGWAS5227.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006384,NA,Landrace,Unknown,Unknown,14.43333,-90.63333,1209,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0118833671267306,-26.0307158770148,1.61697254412789,-2.64251815031773,7.89010458236417,4.15026359507252,3.44242587293751,10.7129241188316,6.46189009760587,4.09511288304553,1.61680140980352
SEEDGWAS523.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-023576,NA,Landrace,Unknown,Unknown,-24.965509,-58.818594,93,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.00939482828639248,-23.9301754160803,-9.2158256814221,1.82588859364333,-14.6260908908493,-4.27096961462621,-3.35350681880506,12.9711028619725,2.70652201025544,-4.37610756548177,-10.9739562275919
SEEDGWAS5232.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006550,NA,Landrace,Unknown,Unknown,-31.239218,-55.632887,203,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0117959775446268,-34.8210981952507,-7.3993798653349,-7.4532537342663,-31.744087136406,4.55881447736862,0.739160005447907,-7.65029793357076,-0.808410921115769,-1.02279407074211,0.524900476369207
SEEDGWAS5234.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006808,NA,Landrace,Unknown,Unknown,26.96666667,-106.35,1563,NA,NA,NA,NA,N10,NA,N10,No,Neither,0.0101393594422596,-21.8116317122725,-6.24796371077363,7.87177568147092,-8.68929553480957,-6.8986271308833,-7.43981131285755,8.32142999273552,4.93092673668677,-5.23645334775639,-14.7283273750445
SEEDGWAS5235.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006916,NA,Landrace,Unknown,Unknown,23.480832,-104.393881,1406,NA,NA,NA,NA,Ab10,Ambiguous,NA,No,Neither,0.0100091543794103,-9.01707641048035,1.19591418467473,5.14856712851492,9.39047568858979,2.74283725691539,1.86243968569975,-4.79026430889031,-1.18799524937142,4.55267640414511,-0.694978527508639
SEEDGWAS5236.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006921,NA,Landrace,Unknown,Unknown,23.480832,-104.393881,1406,NA,NA,NA,NA,N10,NA,N10,Yes,High,0.0561872178282547,-4.1147291676719,6.00221775154191,9.21404246371621,7.12719455091065,4.54115779191835,4.46731681581918,-6.90435190214865,1.58755789997016,2.53697933174652,-3.05782905288547
SEEDGWAS5237.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006923,NA,Landrace,Unknown,Unknown,23.478827,-104.395773,1409,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,0.0108460157624101,-8.95229346651874,3.66322837309061,4.74676025220376,10.8980760021444,2.64873107604217,3.50381557062518,-5.25586955710514,-0.80425797381869,2.59543632440111,-3.01037342965065
SEEDGWAS5238.RN,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006952,NA,Landrace,Unknown,Unknown,22.11666667,-103.25,1701,NA,NA,NA,NA,N10,NA,N10,Yes,Low,0.0355113368430841,14.5444702342012,10.4303111840269,11.3746114860177,3.33156750965805,9.17010361445669,6.69373478588768,-5.6329498039909,0.0758487252187413,-4.8082856599281,-5.10764984577321
