Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
SEEDGWAS4006.RN,0.038671173,Romero-Navarro_etal_2017,CIMMYTMA-BANK-018070,NA,Landrace,Unknown,Unknown,29.43544,-110.367266,390,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4025.RN,0.030882301,Romero-Navarro_etal_2017,CIMMYTMA-BANK-022328,NA,Landrace,Unknown,Unknown,21.250533,-104.880645,883,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4044.RN,0.028908425,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000368,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4051.RN,0.027519334,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001469,NA,Landrace,Unknown,Unknown,19.635915,-102.500515,1306,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4052.RN,0.054011775,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001668,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4054.RN,0.032251453,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001974,NA,Landrace,Unknown,Unknown,18.93333333,-98.9,1593,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4058.RN,0.064923961,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002082,NA,Landrace,Unknown,Unknown,18.75,-99.66666667,1617,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4066.RN,0.024483807,Romero-Navarro_etal_2017,CIMMYTMA-BANK-004096,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4072.RN,0.029870177,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006371,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4073.RN,0.055702507,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006401,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
