"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"76","12S019601.SW","Swarts_etal_2017","PI_218156:Santo_Domingo","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3052,-106.2148,1581,NA,NA,NA,NA,"N10",NA
"77","12S019801.SW","Swarts_etal_2017","PI_218156:Santo_Domingo","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3052,-106.2148,1581,NA,NA,NA,NA,"Ab10","Ab10-I"
"78","12S020001.SW","Swarts_etal_2017","PI_218156:Santo_Domingo","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3052,-106.2148,1581,NA,NA,NA,NA,"Ab10","Ab10-I"
"79","12S020401.SW","Swarts_etal_2017","PI_218156:Santo_Domingo","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3052,-106.2148,1581,NA,NA,NA,NA,"Ab10","Ab10-I"
"80","12S020601.SW","Swarts_etal_2017","PI_218157:Santa_Clara","US - Puebloan (East)","Landrace","Unknown","Unknown",35.5816,-106.0521,1709,NA,NA,NA,NA,"N10",NA
"81","12S020801.SW","Swarts_etal_2017","PI_218157:Santa_Clara","US - Puebloan (East)","Landrace","Unknown","Unknown",35.5816,-106.0521,1709,NA,NA,NA,NA,"N10",NA
"82","12S020901.SW","Swarts_etal_2017","PI_218157:Santa_Clara","US - Puebloan (East)","Landrace","Unknown","Unknown",35.5816,-106.0521,1709,NA,NA,NA,NA,"N10",NA
"83","12S021301.SW","Swarts_etal_2017","PI_218157:Santa_Clara","US - Puebloan (East)","Landrace","Unknown","Unknown",35.5816,-106.0521,1709,NA,NA,NA,NA,"N10",NA
"84","12S022001.SW","Swarts_etal_2017","PI_218157:Santa_Clara","US - Puebloan (East)","Landrace","Unknown","Unknown",35.5816,-106.0521,1709,NA,NA,NA,NA,"N10",NA
"85","12S022301.SW","Swarts_etal_2017","PI_218159:Zia","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3013,-106.4324,1668,NA,NA,NA,NA,"Ab10","Ambiguous"
"86","12S022401.SW","Swarts_etal_2017","PI_218159:Zia","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3013,-106.4324,1668,NA,NA,NA,NA,"Ab10","Ab10-II"
"87","12S022501.SW","Swarts_etal_2017","PI_218159:Zia","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3013,-106.4324,1668,NA,NA,NA,NA,"N10",NA
"88","12S022701.SW","Swarts_etal_2017","PI_218159:Zia","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3013,-106.4324,1668,NA,NA,NA,NA,"Ab10","Ambiguous"
"89","12S023401.SW","Swarts_etal_2017","PI_218159:Zia","US - Puebloan (East)","Landrace","Unknown","Unknown",35.3013,-106.4324,1668,NA,NA,NA,NA,"Ab10","Ambiguous"
"90","12S024301.SW","Swarts_etal_2017","PI_218160:Navajo","US - Athabaskan","Landrace","Unknown","Unknown",NA,NA,1829,NA,NA,NA,NA,"N10",NA
