Name,Prop,Model,KMeans_BChrom
SEEDGWAS4025.RN,1,Low,Yes
SEEDGWAS4044.RN,1,Low,Yes
SEEDGWAS4051.RN,1,Low,Yes
SEEDGWAS4054.RN,1,Low,Yes
SEEDGWAS4066.RN,0.976,Low,Yes
SEEDGWAS4072.RN,1,Low,Yes
SEEDGWAS4089.RN,1,Low,Yes
SEEDGWAS4090.RN,1,Low,Yes
SEEDGWAS4112.RN,1,Low,Yes
SEEDGWAS4129.RN,1,Low,Yes
SEEDGWAS4182.RN,1,Low,Yes
SEEDGWAS4186.RN,1,Low,Yes
SEEDGWAS4199.RN,1,Low,Yes
SEEDGWAS4209.RN,1,Low,Yes
SEEDGWAS4215.RN,1,Low,Yes
SEEDGWAS4224.RN,1,Low,Yes
SEEDGWAS4226.RN,1,Low,Yes
SEEDGWAS4231.RN,1,Low,Yes
SEEDGWAS4235.RN,1,Low,Yes
SEEDGWAS4243.RN,1,Low,Yes
SEEDGWAS4247.RN,1,Low,Yes
SEEDGWAS4250.RN,1,Low,Yes
SEEDGWAS4254.RN,1,Low,Yes
