Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
SEEDGWAS4237.RN,0.029955223985283,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-011682,NA,Landrace,Unknown,Unknown,21.407676,-101.895629,1886,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4247.RN,0.0291226409947331,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-015956,NA,Landrace,Unknown,Unknown,21.0375,-101.4913889,1829,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4249.RN,0.0250887145795809,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-017155,NA,Landrace,Unknown,Unknown,20.93333333,-103.0166667,1806,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4259.RN,0.0270901581459435,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-018822,NA,Landrace,Unknown,Unknown,21.48333333,-101.1666667,2061,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4264.RN,0.0459916283761002,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-019477,NA,Landrace,Unknown,Unknown,21.073593,-101.541904,1861,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4280.RN,0.0521038109602216,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000080,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4286.RN,0.0262222717152892,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000239,NA,Landrace,Unknown,Unknown,18.483431,-97.427292,1677,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4288.RN,0.0320102298681938,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000283,NA,Landrace,Unknown,Unknown,20.765746,-100.050632,1944,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4291.RN,0.0380827747329063,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000294,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4308.RN,0.0495712353351385,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000675,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4309.RN,0.0282168239496987,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000678,NA,Landrace,Unknown,Unknown,18.75027778,-97.24166667,1414,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4311.RN,0.0280372928567974,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-000852,NA,Landrace,Unknown,Unknown,25.01805556,-100.6222222,1884,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4313.RN,0.049768913881636,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001062,NA,Landrace,Unknown,Unknown,21.18333333,-102.85,1794,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS432.RN,0.0306595964888421,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-014033,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4322.RN,0.0354137083206582,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001409,NA,Landrace,Unknown,Unknown,19.73333333,-99.23333333,2392,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4326.RN,0.0240999458193041,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001467,NA,Landrace,Unknown,Unknown,19.652002,-100.593265,2180,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4343.RN,0.0248358561770398,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001573,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4350.RN,0.0332457290770324,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001640,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4356.RN,0.0270675226033498,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001665,NA,Landrace,Unknown,Unknown,22.26916667,-100.7558333,2209,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4357.RN,0.0290657516234191,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001673,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4364.RN,0.0256806943254665,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-001914,NA,Landrace,Unknown,Unknown,20.26,-99.17,1996,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4368.RN,0.0622257196316855,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002011,NA,Landrace,Unknown,Unknown,18.830753,-99.234331,1233,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4382.RN,0.0311832279713951,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-002612,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
